Tipo_Codigo,SPN,FMI,Descripcion,Grupo,Criticidad,Origen_Criticidad,Motor_Aplica
SPN,111,3,Nivel del Refrigerante del motor - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SPN,111,4,Nivel del Refrigerante del motor - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SPN,110,2,"Temperatura Del Refrigerante - Datos erráticos, intermitentes o incorrectos",Motor,MEDIA,Manual,Generico
SPN,110,14,Circuito del Sensor de Temperatura 1 del Refrigerante del Motor - Instrucciones especiales,Motor,MEDIA,Manual,Generico
SPN,110,4,Circuito del Sensor de Temperatura 1 del Refrigerante del Motor - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SPN,6992,19,Excluir solicitud de combustión del cilindro 1 - Datos de red recibidos por error,Motor,MEDIA,Manual,Generico
SPN,6993,7,Excluir solicitud de combustión del cilindro 2 - El sistema mecánico no responde o está desajustado,Motor,MEDIA,Manual,Generico
SPN,6995,6,Excluir solicitud de combustión del cilindro 4 - Corriente por encima de lo normal,Motor,MEDIA,Manual,Generico
SPN,6995,4,Excluir solicitud de combustión del cilindro 4 - Voltaje por debajo de lo normal o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,6997,6,Excluir solicitud de combustión del cilindro 6 - Corriente por encima de lo normal,Motor,MEDIA,Manual,Generico
SPN,6997,4,Excluir solicitud de combustión del cilindro 6 - Voltaje por debajo de lo normal o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,6999,6,Excluir solicitud de combustión del cilindro 8 - Corriente por encima de lo normal,Motor,MEDIA,Manual,Generico
SPN,4000,2,"Interruptor de activación del freno de motor - Datos erráticos, intermitentes o incorrectos",Motor,MEDIA,Manual,Generico
SPN,27,0,Circuito de Posición de la Válvula EGR - Datos válidos pero superiores al rango de funcionamiento normal - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,27,13,Circuito de Posición de la Válvula EGR - Fuera de calibración,Motor,MEDIA,Manual,Generico
SPN,27,4,Circuito de Posición de la Válvula EGR - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SID,56,11,Ventilador del motor - Falla de autocomprobación del circuito de salida,Motor,MEDIA,Manual,Generico
SPN,986,2,Actuador del interruptor del ventilador del motor - Datos erraticos o intermitentes,Motor,MEDIA,Manual,Generico
SPN,647,3,Voltaje por Encima de lo Normal o en Corto con Fuente Alta detectado en el Fan Clutch cuando está activado,Motor,MEDIA,Manual,Generico
SPN,647,4,Voltaje por debajo de lo Normal o en Corto con Fuente baja detectado en el Fan Clutch cuando está activado,Motor,MEDIA,Manual,Generico
SPN,652,7,Circuito Accionador del Solenoide del Inyector del Cilindro 2 - El sistema mecánico no responde o está desajustado,Motor,MEDIA,Manual,Generico
SPN,653,7,Circuito Accionador del Solenoide del Inyector del Cilindro 3 - El sistema mecánico no responde o está desajustado,Motor,MEDIA,Manual,Generico
SPN,655,7,Circuito Accionador del Solenoide del Inyector del Cilindro 5 - El sistema mecánico no responde o está desajustado,Motor,MEDIA,Manual,Generico
SPN,656,7,Circuito Accionador del Solenoide del Inyector del Cilindro 6 - El sistema mecánico no responde o está desajustado,Motor,MEDIA,Manual,Generico
SPN,5585,1,Presión de arranque del riel dosificador de combustible del inyector 1 - Datos válidos pero por debajo del rango operativo normal - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,157,18,Circuito del Sensor de Presión del Riel 1 de Dosificación del Inyector - Datos validos pero por debajo del Rango Normal De Operación - Nivel moderadamente severo,Motor,MEDIA,Manual,Generico
SPN,157,14,"Circuito del Sensor de Presión del Riel 1 de Dosificación del Inyector - Falla de la válvula de alivio FRP, reemplazar la válvula y restablecer el contador",Motor,MEDIA,Manual,Generico
SPN,174,3,Sensor de temperatura Del Combustible Del Motor - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SPN,633,6,Circuito del actuador frontal de dosificación de combustible - Corriente por encima de lo normal - El motor funcionará usando solamente los tres cilindros traseros,Motor,MEDIA,Manual,Generico
SPN,633,5,Circuito del actuador frontal de dosificación de combustible - Corriente debajo de lo normal o circuito abierto - El motor funcionará usando solamente los tres cilindros traseros,Motor,MEDIA,Manual,Generico
SPN,1244,6,Circuito de la Válvula Electrónica 2 de Control de Inyección de Combustible - Corriente por encima de lo normal,Motor,MEDIA,Manual,Generico
SPN,94,3,"Presión de distribucion de la bomba de combustible - Voltaje por encima de lo normal, o cortocircuitado a fuente alta",Motor,MEDIA,Manual,Generico
SPN,94,4,Presión de distribucion de la bomba de combustible - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
PID,94,0,La Presión de suministro de combustible Está por encima Del Rango Normal De Operación,Motor,MEDIA,Manual,Generico
PID,94,1,La Presión de suministro de combustible Está Debajo Del Rango Normal De Operación,Motor,MEDIA,Manual,Generico
SPN,1347,3,Sistema de presurización de la bomba de combustible del motor - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SPN,729,3,"Circuito del Calentador 1 del Aire de Admisión del Motor - Voltaje Por Arriba de lo Normal, o en Corto con Fuente Alta",Motor,MEDIA,Manual,Generico
SPN,102,2,Circuito del sensor de presión del múltiple de admisión - Datos erraticos o intermitentes,Motor,MEDIA,Manual,Generico
SPN,102,18,Circuito del sensor de presión del múltiple de admisión - Datos validos pero por debajo del Rango Normal De Operación,Motor,MEDIA,Manual,Generico
SPN,102,3,Alto voltaje detectado en el circuito del sensor de presión del múltiple de admisión.,Motor,MEDIA,Manual,Generico
SPN,102,4,Bajo voltaje detectado en el circuito del sensor de presión del múltiple de admisión,Motor,MEDIA,Manual,Generico
SPN,100,4,Presión De Aceite Del Motor - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SPN,1378,31,Intervalo de Cambio de Aceite del Motor - Cambie aceite y filtro del motor.,Motor,MEDIA,Manual,Generico
SPN,175,3,Temperatura De Aceite Del Motor - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
PID,175,4,Circuito 1 del Sensor de Temperatura de Aceite del Motor - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SPN,636,0,Sensor de posición del motor - Datos válidos pero superiores al rango de funcionamiento normal - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,166,2,Existe un desequilibrio de potencia entre cilindros - El motor puede tener funcionamiento irregular en ralentí o fallas de encendido.,Motor,MEDIA,Manual,Generico
SPN,190,10,Sobrevelocidad del Motor - Tasa de cambio anormal,Motor,MEDIA,Manual,Generico
SPN,190,2,Sobrevelocidad del Motor - Datos erraticos o intermitentes,Motor,MEDIA,Manual,Generico
SPN,190,11,Sobrevelocidad del Motor - Causa principal desconocida,Motor,MEDIA,Manual,Generico
SPN,723,2,"Sensor de Velocidad/Posición del Árbol de Levas del Motor - Datos Erráticos, Intermitentes o Incorrectos",Motor,MEDIA,Manual,Generico
SPN,723,7,Velocidad del Motor y Sensor de Posición del Árbol de Levas - Desalineación Mecánica Entre los Sensores del Árbol de Levas y del Cigüeñal,Motor,MEDIA,Manual,Generico
SPN,3464,8,Circuito Excitador Del Actuador Electrónico De Control Del Acelerador - Frecuencia anormal,Motor,MEDIA,Manual,Generico
SPN,3464,5,Circuito Excitador Del Actuador Electrónico De Control Del Acelerador - Corriente debajo de lo normal o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,51,0,Circuito del Sensor de Posición del Actuador del Regulador de Admisión del Motor - Voltaje Arriba de lo Normal o en Corto con Fuente Alta - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,51,3,Circuito del Sensor de Posición del Actuador del Regulador de Admisión del Motor - Voltaje Arriba de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SPN,51,4,Circuito del Sensor de Posición del Actuador del Regulador de Admisión del Motor - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SPN,5542,15,Presión de la turbina del turbocompresor superior a la deseada,Motor,MEDIA,Manual,Generico
SPN,5541,2,"Presión de salida de la turbina del turbocompresor - Datos erráticos, intermitentes o incorrectos",Motor,MEDIA,Manual,Generico
SPN,104,0,Presión del aceite lubricante del turbocompresor del motor 1 - Datos válidos pero superiores al rango normal de operación - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,1189,3,Circuito de posición del actuador 2 de la compuerta de descarga del turbocargador del motor -voltaje por encima de lo normal o en cortocircuito a fuente de voltaje alto,Motor,MEDIA,Manual,Generico
SPN,1189,4,Circuito de posición del actuador 2 de la compuerta de descarga del turbocargador del motor: voltaje por debajo de lo normal o en cortocircuito a fuente de voltaje bajo,Motor,MEDIA,Manual,Generico
SPN,6891,4,"Actuador 3 de la valvula Wastegate del turbocompresor - Voltaje por debajo de lo normal, o cortocircuitado a fuente baja",Motor,MEDIA,Manual,Generico
SPN,6892,4,"Actuador 4 de la valvula Wastegate del turbocompresor - Voltaje por debajo de lo normal, o cortocircuitado a fuente baja",Motor,MEDIA,Manual,Generico
SPN,96,3,"Circuito del sensor de nivel de combustible (tanque principal) - Voltaje por encima de lo normal, o cortocircuitado a fuente alta",Motor,MEDIA,Manual,Generico
SID,1,6,Corto a tierra en el inyector del cilindro 1,Motor,MEDIA,Manual,Generico
SID,2,6,Corto a tierra en el inyector del cilindro 2,Motor,MEDIA,Manual,Generico
SID,3,6,Corto a tierra en el inyector del cilindro 3,Motor,MEDIA,Manual,Generico
SID,4,6,Corto a tierra en el inyector del cilindro 4,Motor,MEDIA,Manual,Generico
SID,5,6,Corto a tierra en el inyector del cilindro 5,Motor,MEDIA,Manual,Generico
SID,6,6,Corto a tierra en el inyector del cilindro 6,Motor,MEDIA,Manual,Generico
SID,7,6,Corto a tierra en el inyector del cilindro 7,Motor,MEDIA,Manual,Generico
SID,8,6,Corto a tierra en el inyector del cilindro 8,Motor,MEDIA,Manual,Generico
SID,2,4,Corriente debajo de lo normal en el inyector del cilindro 2,Motor,MEDIA,Manual,Generico
SID,3,4,Corriente debajo de lo normal en el inyector del cilindro 3,Motor,MEDIA,Manual,Generico
SID,4,4,Corriente debajo de lo normal en el inyector del cilindro 4,Motor,MEDIA,Manual,Generico
SID,5,4,Corriente debajo de lo normal en el inyector del cilindro 5,Motor,MEDIA,Manual,Generico
SID,6,4,Corriente debajo de lo normal en el inyector del cilindro 6,Motor,MEDIA,Manual,Generico
SID,8,4,Corriente debajo de lo normal en el inyector del cilindro 8,Motor,MEDIA,Manual,Generico
SID,1,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 1,Motor,MEDIA,Manual,Generico
SID,2,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 2,Motor,MEDIA,Manual,Generico
SID,3,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 3,Motor,MEDIA,Manual,Generico
SID,4,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 4,Motor,MEDIA,Manual,Generico
SID,5,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 5,Motor,MEDIA,Manual,Generico
SID,6,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 6,Motor,MEDIA,Manual,Generico
SID,7,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 7,Motor,MEDIA,Manual,Generico
SID,8,5,Corriente debajo de lo normal o circuito abierto en el inyector del cilindro 8,Motor,MEDIA,Manual,Generico
PID,73,3,Sensor de presión hidráulica - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
PID,71,14,Temporizador de ralentí habilitado para el apagado automático del motor,Motor,MEDIA,Manual,Generico
SID,230,11,Falla en el circuito del interruptor de validación de ralenti,Motor,MEDIA,Manual,Generico
SID,21,2,"Señal de posición del árbol de levas - Datos erráticos, intermitentes o incorrectos",Motor,MEDIA,Manual,Generico
SID,64,2,Señal del sensor de posición del cigüeñal (CPK) incorrecta,Motor,MEDIA,Manual,Generico
PID,164,13,Presión de control de inyección por encima del rango normal de Operación - El motor no funciona,Motor,MEDIA,Manual,Generico
PID,164,0,Presión de control de inyección - Datos Válidos pero Por Encima de la Gama Normal de Operación - Nivel Más Grave,Motor,MEDIA,Manual,Generico
PID,164,10,Presión de control de inyección por encima o por debajo de lo normal,Motor,MEDIA,Manual,Generico
SID,42,11,Regulador de presión de control de inyección - Falla en la autocomprobación del circuito de salida,Motor,MEDIA,Manual,Generico
PID,164,3,La Presión de control de inyección se encuentra por encima del Rango Normal De Operación.,Motor,MEDIA,Manual,Generico
PID,164,4,La Presión de control de inyección Está Debajo Del Rango Normal De Operación.,Motor,MEDIA,Manual,Generico
PID,164,1,Presión de control de inyección incapaz de generar presión durante el arranque,Motor,MEDIA,Manual,Generico
SID,254,6,Injection Driver Module Fault,Motor,MEDIA,Manual,Generico
SID,221,4,Relé del sistema de inyección - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SID,233,4,Módulo controlador de inyección VIGN - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Motor,MEDIA,Manual,Generico
SPN,1043,4,Se detecta bajo voltaje en la línea de voltaje de alimentación del módulo de control electrónico (ECM) al acelerador(es).,Motor,MEDIA,Manual,Generico
SPN,639,9,Red del protocolo SAE J1939 - Tasa de cambio anormal,Motor,MEDIA,Manual,Generico
SPN,639,13,Red del protocolo SAE J1939 - Fuera de calibracion,Motor,MEDIA,Manual,Generico
SPN,639,14,Red del protocolo SAE J1939 presenta una falla desconocida,Motor,MEDIA,Manual,Generico
SPN,639,31,Red del protocolo SAE J1939 - La condicion existe,Motor,MEDIA,Manual,Generico
SPN,1231,14,Red del protocolo SAE J1939 presenta una falla desconocida,Motor,MEDIA,Manual,Generico
SPN,829,0,Sensor izquierdo del nivel de combustible - Datos validos pero por encima del Rango Normal De Operación - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,829,3,"Sensor del tanque de combustible - Voltaje por encima de lo normal, o cortocircuitado a fuente alta",Motor,MEDIA,Manual,Generico
SPN,3200,2,Retraso excesivo en el tiempo de transito de los mensajes,Motor,MEDIA,Manual,Generico
SPN,6893,4,Velocidad del flujo másico del combustible - Voltaje por debajo de lo normal o cortocircuitado a fuente baja,Motor,MEDIA,Manual,Generico
SPN,625,2,"Error Del Enlace De Datos Patentado (Enlace De Datos Del OEM/Vehículo) - Datos erráticos, intermitentes o incorrectos",Motor,MEDIA,Manual,Generico
SPN,625,14,Error Del Enlace De Datos Patentado (Enlace De Datos Del OEM/Vehículo) - Índice De Actualización Anormal,Motor,MEDIA,Manual,Generico
SPN,251,2,Reloj de tiempo real - Datos erraticos o intermitentes - Los datos en el ECM no tendrán información exacta de tiempo y fecha,Motor,MEDIA,Manual,Generico
SPN,830,0,Sensor derecho del nivel de combustible - Datos validos pero por encima del Rango Normal De Operación - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,830,1,Sensor derecho del nivel de combustible - Datos validos pero por debajo del Rango Normal De Operación - Nivel más severo,Motor,MEDIA,Manual,Generico
SPN,3509,3,Circuito número 1 de alimentación de sensores - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SPN,1080,4,"Bajo voltaje detectado en la línea de voltaje de alimentación del ECM, para algunos sensores",Motor,MEDIA,Manual,Generico
SPN,3513,14,Circuito número 5 de alimentación de sensores - Instrucciones Especiales,Motor,MEDIA,Manual,Generico
SPN,1172,3,Circuito de Temperatura de Admisión del Compresor del Turbocargador 1 - Voltaje por Encima de lo Normal o en Corto con Fuente Alta,Motor,MEDIA,Manual,Generico
SPN,103,16,"Velocidad del turbocargador 1 - Datos válidos, pero por encima del rango de funcionamiento normal - Nivel moderadamente grave",Motor,MEDIA,Manual,Generico
SID,254,8,ECM-Error de reinicio inesperado,Motor,MEDIA,Manual,Generico
SPN,520763,5,Controlador de relé de solenoide de aire universal 11 - Baja corriente o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,520764,5,Controlador de relé de solenoide de aire universal 12 - Baja corriente o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,520757,5,Controlador de relé de solenoide de aire universal 5 - Baja corriente o circuito abierto,Motor,MEDIA,Manual,Generico
SPN,97,16,Indicador De Agua En El Combustible - Datos Válidos Pero Por Encima de la Gama Normal de Operación - Nivel moderadamente severo,Motor,MEDIA,Manual,Generico
SPN,97,3,"Indicador De Agua En El Combustible - Voltaje por encima de lo normal, o cortocircuitado a fuente alta",Motor,MEDIA,Manual,Generico
SPN,3950,6,Bocina de aire - Corriente por encima de lo normal,Eléctrico,MEDIA,Manual,Generico
SPN,3950,5,Bocina de aire - Corriente debajo de lo normal o circuito abierto,Eléctrico,MEDIA,Manual,Generico
SID,250,2,Error de Comunicación,Eléctrico,MEDIA,Manual,Generico
SPN,920,3,Alarma audible - Voltaje Arriba de lo Normal o en Corto con Fuente Alta,Eléctrico,MEDIA,Manual,Generico
SPN,920,4,Alarma audible - Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Eléctrico,MEDIA,Manual,Generico
SPN,167,18,Voltaje de la batería - Datos validos pero por debajo del Rango Normal De Operación,Eléctrico,MEDIA,Manual,Generico
SPN,168,4,Voltaje de la batería por debajo de lo normal o en corto a fuente baja,Eléctrico,MEDIA,Manual,Generico
SPN,2033,9,Panel de instrumentos - Comunicación perdida,Eléctrico,MEDIA,Manual,Generico
SPN,1045,2,"Interruptor de luz de freno 1: datos erráticos, intermitentes o incorrectos",Eléctrico,MEDIA,Manual,Generico
SPN,1045,7,Interruptor de luz de freno 1: El sistema mecánico no responde o está desajustado,Eléctrico,MEDIA,Manual,Generico
SPN,3976,6,Luz 1 de techo de la cabina - Corriente por encima de lo normal,Eléctrico,MEDIA,Manual,Generico
SPN,3977,5,Luz 2 de techo de la cabina - Corriente debajo de lo normal o circuito abierto,Eléctrico,MEDIA,Manual,Generico
SPN,3979,5,Luz del piso de la cabina - Corriente por debajo de lo normal o circuito abierto,Eléctrico,MEDIA,Manual,Generico
SPN,165,12,Brújula del grupo de instrumentos - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,520919,13,El conector J4 Pin E1 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520890,13,El conector J4 Pin E10 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520889,13,El conector J4 Pin E11 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520894,13,El conector J4 Pin E12 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520895,13,El conector J4 Pin E13 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520892,13,El conector J4 Pin E14 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520893,13,El conector J4 Pin E16 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520916,13,El conector J4 Pin E2 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520915,13,El conector J4 Pin E3 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520917,13,El conector J4 Pin E4 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520920,13,El conector J4 Pin E5 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520918,13,El conector J4 Pin E8 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520896,13,El conector J4 Pin E9 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520901,13,El conector J4 Pin F1 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520906,13,El conector J4 Pin F11 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520912,13,El conector J4 Pin F12 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520911,13,El conector J4 Pin F16 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520899,13,El conector J4 Pin F2 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520900,13,El conector J4 Pin F3 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520903,13,El conector J4 Pin F4 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520902,13,El conector J4 Pin F5 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520897,13,El conector J4 Pin F6 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520898,13,El conector J4 Pin F7 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520904,13,El conector J4 Pin F8 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,520910,13,El conector J4 Pin F9 tiene una carga en este pin que se encuentra configurado como no utilizado,Eléctrico,MEDIA,Manual,Generico
SPN,521528,12,Interruptor descendente de la ventana del pasajero del control del conductor - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,521527,12,Interruptor ascendente de la ventana del pasajero del control del conductor - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,521518,12,Interruptor de desbloqueo del seguro eléctrico del conductor - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,521526,12,Interruptor descendente de la ventana del conductor - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,521525,12,Interruptor ascendente de la ventana del conductor - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,3998,6,Relé de Control de Carga Eléctrica (Load Shed) Sobre Corriente,Eléctrico,MEDIA,Manual,Generico
SPN,3461,5,Solenoide de aire del PTO 2 - Corriente debajo de lo normal o circuito abierto,Eléctrico,MEDIA,Manual,Generico
SID,20,7,Extra Smart Switch - El Sistema mecánico no responde,Eléctrico,MEDIA,Manual,Generico
SPN,4007,2,"Interruptor de bloqueo de la quinta rueda deslizante - Datos erráticos, intermitentes o incorrectos",Eléctrico,MEDIA,Manual,Generico
SPN,4008,6,Luz antiniebla derecha - Corriente por encima de lo normal,Eléctrico,MEDIA,Manual,Generico
SPN,4008,5,Luz antiniebla derecha - Corriente debajo de lo normal o circuito abierto,Eléctrico,MEDIA,Manual,Generico
SPN,1705,4,Sistema de cámara de visión frontal -Voltaje por Debajo de lo Normal o en Corto con Fuente Baja,Eléctrico,MEDIA,Manual,Generico
SPN,521519,12,Interruptor de desbloqueo del seguro eléctrico de la puerta del pasajero - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,521520,12,Interruptor de bloqueo del seguro eléctrico de la puerta del pasajero - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
SPN,521530,12,Interruptor descendente de la ventana del pasajero delantero bloqueado,Eléctrico,MEDIA,Manual,Generico
SPN,521529,12,Interruptor ascendente de la ventana del pasajero - Dispositivo inteligente o componente defectuoso,Eléctrico,MEDIA,Manual,Generico
